iD,Response,Reviewer
2,"Multiprocessing operating system or the parallel system support the use of more than one processor in close communication.

The advantages of the multiprocessing system are:

Increased Throughput âˆ’ By increasing the number of processors, more work can be completed in a unit time.

Cost Saving âˆ’ Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems. Also, if a number of programs are to operate on the same data, it is cheaper to store that data on one single disk and shared by all processors instead of using many copies of the same data.

Increased Reliability âˆ’ In this system, as the workload is distributed among several processors which results in increased reliability. If one processor fails then its failure may slightly slow down the speed of the system but system will work smoothly.",4
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput.
More Economic Systems. 
Increased Expense. 
Complicated Operating System Required.
Large Main Memory Required.",3
2,"1-More reliable Systems. In a multiprocessor system, even if one processor fails, the system 
   will not halt.
2-Enhanced Throughput.
3-More Economic Systems.
4-Increased Expense.
5-Complicated Operating System Required.
6-Large Main Memory Required.",3
2,"Less heat,fast results,cool gadgets.",1
2,"More reliable Systems
Enhanced Throughput
More Economic Systems",2
2,"A multiprocessor system is a system in which two or more CPU (Central processing systems) are used. In this type of system two or more processes can be processed in parallel i.e. at the same time interval.                                                                 Advantages of multiprocessor systems:-
High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic: As more work is completed by the CPUâ€™s so these systems are economically good as well.",5
2,"The advantages of the multiprocessing system are:
1)More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. 
2)Enhanced Throughput. 
3)More Economic Systems. 
4)Increased Expense. 
5)Complicated Operating System Required. 
Large Main Memory Required.",3
2,"There are multiple advantages to multiprocessor systems. Some of these are âˆ’

More reliable Systems

In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation. For example: If there are 5 processors in a multiprocessor system and one of them fails, then also 4 processors are still working. So the system only becomes slower and does not ground to a halt.

Enhanced Throughput

If multiple processors are working in tandem, then the throughput of the system increases i.e. number of processes getting executed per unit of time increase. If there are N processors then the throughput increases by an amount just under N.

More Economic Systems

Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc. If there are multiple processes that share data, it is better to schedule them on multiprocessor systems with shared data than have different computer systems with multiple copies of the data.",5
2,"Multiprocessing operating system or the parallel system support the use of more than one processor in close communication.

The advantages of the multiprocessing system are:

1. Increased Throughput âˆ’ By increasing the number of processors, more work can be completed in a unit time.

2. Cost Saving âˆ’ Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems. Also, if a number of programs are to operate on the same data, it is cheaper to store that data on one single disk and shared by all processors instead of using many copies of the same data.

3. Increased Reliability âˆ’ In this system, as the workload is distributed among several processors which results in increased reliability. If one processor fails then its failure may slightly slow down the speed of the system but system will work smoothly.",3
2,"high throughput
parallel processing 
 less electricity
realibilty",3
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. 
Enhanced Throughput.
More Economic Systems
Increased Expense.
Complicated Operating System Required. .
Large Main Memory Required",4
2,"Increases throughput, increases reliability, economy of scale",3
2,"More reliable systems , Enhanced throughput, increased expense,more economic systems, complicated os,large memory required.",3
2,If one processor fails the system will not halt and work done quickly and  more reliable systems,2
2,"Enhanced Throughput
More Economic Systems
Complicated Operating System Required
Large Main Memory Required.",2
2,"high throughout, parallel processing, high reliable ",3
2,"Enhanced Throughput.
More Economic Systems.
Increased Expense",2
2,"1.More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. 
2.Enhanced Throughput. 
3.More Economic Systems. 
4.Increased Expense. 
5.Complicated Operating System Required. 
6.Large Main Memory Required.",4
2,"There are multiple advantages to multiprocessor systems. Some of these are 
*More reliable Systems
*Enhanced Throughput
*More Economic Systems",3
2,"Reliable,more economic,increased expenses ",2
2,"Advantages of Multiprocessor Systems
More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. 
1.Enhanced Throughput. 
2.More Economic Systems. 
3.Increased Expense. 
4.Complicated Operating System Required. 
5.Large Main Memory Required",4
2,"1. More reliable Systems. 
2 .In a multiprocessor system, even if one processor fails, the system will not halt. ...
3. Enhanced Throughput. ...
4 .More Economic Systems. ...
5 .Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required",5
2,"Advantages of Multiprocessor Systems
More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required.",5
2,"More reliable Systems
Enhanced Throughput
More Economic Systems",3
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. 
Large Main Memory Required.",4
2,Multiple advantages,0
2,Cpu utilisation increases and multiple processes can be executed by the processor which helps in multitasking,2
2,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.",5
2,"Advantages of multiprocessor systems:-
High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic: As more work is completed by the CPUâ€™s so these systems are economically good as well.",5
2,More economic systems increased expense enhanced througput,2
2,"Most computer systems are single processor systems i.e they only have one processor. However, multiprocessor or parallel systems are increasing in importance nowadays. These systems have multiple processors working in parallel that share the computer clock, memory, bus, peripheral devices etc. An image demonstrating the multiprocessor architecture is multiprocessor system",4
2,"The advantages of the multiprocessing system are: Increased Throughput âˆ’ By increasing the number of processors, more work can be completed in a unit time. Cost Saving âˆ’ Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems.",3
2,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic: As more work is completed by the CPUâ€™s so these systems are economically good as well.",5
2,Multiprocessor system is more reliable it means that if one processor fails in the system the other works.,1
2,Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage,1
2,"Utilization of Cpu is maximum.
More efficiency.",2
2,"Enhanced throughput, large main memory",2
2,Advantage  of multiprocessor  systems  is increasing through number of processors more work can be completed  in a unit of time and it is also cost saving ,2
2,"Advantages of Multiprocessor Systems are:
1.More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
2.Enhanced Throughput.
3.More Economic Systems.",3
2,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.",5
2,Takes less time for execution,1
2,"Multiprocessing operating system or the parallel system support the use of more than one processor in close communication.

The advantages of the multiprocessing system are:

Increased Throughput âˆ’ By increasing the number of processors, more work can be completed in a unit time.

Cost Saving âˆ’ Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems. Also, if a number of programs are to operate on the same data, it is cheaper to store that data on one single disk and shared by all processors instead of using many copies of the same data.

Increased Reliability âˆ’ In this system, as the workload is distributed among several processors which results in increased reliability. If one processor fails then its failure may slightly slow down the speed of the system but system will work smoothly.",4
2,"* Enhanced Throughput.
* More Economic Systems.
* Increased Expense.
* Complicated Operating System Required.
* Large Main Memory Required.",4
2,"High throughput , Less chances of failure (even if one system fails, other system can take up the work)",2
2,"More relaliable,  enhanced throughput,cheaper",2
2,"1.In multiprocessor system, even if one processor fails, the system will not halt.
2.Cost Saving.
3.Increased reliability",3
2,"Increased throughput by increasing the no. of processors , more work can be completed in a unit time.",1
2,"Increased expense, more economic systems, enhanced throughput, complicated operating system required, large main memory required. ",3
2,"More reliable systems, if one processor fails the system doesnot halt.",1
2,"More reliability, increase throughput",2
2,"More reliable Systems, Enhanced Throughput, More Economic Systems",3
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.",1
2,"Reduced cost, increased reliability, increased throughput.",3
2,"Enhanced Throughput
More Economic Systems
Increased Expense
Complicated Operating System Required
Large Main Memory Required",4
2,"Perform multiple tasks at a time,, improve performance and speed,, resources will be used properly",2
2,"More reliable systems, more economic systems, enhanced thorughput",3
2,It increases the throughput by increasing the number of processors  more work can complete in a unit of time,1
2,"1. Increased throughput
2.cost saving
3.more reliable systems",3
2,A program that acts as an intermediary between a user of a computer and the computer hardware,0
2,Answer in 4th question ,0
2,"Enhanced Throughput.
More Economic Systems.
Increased Expense.
Complicated Operating System Required.
Large Main Memory Required.",4
2,"In Multiprocessor system even if one processor is fails,the system will not halt.
More economic systems, increased expense, large main power required.",2
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput. 
More Economic Systems. 
Increased Expense. 
Complicated Operating System Required. 
Large Main Memory Required.",5
2,"1) increased throughput
2) economy of scale
3) increased reliability",3
2,"Enhanced Throughput,
More Economic Systems,
Increased Expense,
Complicated Operating System Required,
Large Main Memory Required.",4
2,"More reliable Systems. 
In a multiprocessor system, even if one processor fails, the system will not halt
Enhanced Throughput
More Economic Systems
Increased Expense
Complicated Operating System Required
Large Main Memory Required",5
2,"1.More reliable Systems. 
2.In a multiprocessor system, even if one 
   processor fails, the system will not halt.
3.Enhanced Throughput.
4.More Economic Systems.
5.Increased Expense.
6.Complicated Operating System Required.
7.Large Main Memory Required.",5
2,"Most reliable, high throughput, parallel processing",2
2,"The microprocessor is that these are general purpose electronics processing devices which can be programmed to execute a number of tasks.
Compact size.
High speed.
Low power consumption.
It is portable.
It is very reliable.
Less heat generation.
The microprocessor is very versatile.",1
2,"More reliable Systems, Enhanced Throughput, More Economic Systems",3
2,"It can more jobs than a single processor
It can increase the system efficiency",2
2,"The advantages of the multiprocessing system are: Increased Throughput âˆ’ By increasing the number of processors, more work can be completed in a unit time. Cost Saving âˆ’ Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems.",3
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ",1
2,"High Throughput
Type of parallel processing
Less electricity usage
High Reliability
Economic",2
2,"More economic
More reliable
Large memory",2
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required.",5
2,More economic increased expense.,1
2,"1:In multiprocessor system even when one processor fails the whole system doesn't stop.
2: Multiple independent jobs can be operated in parallel.
3: More work can be worked in a unit time.",2
2,"1.High reliability
2.Economic
3.Enhanced throughput
4.Reduced cost",4
2,"In multiprocessor system, even if one processor fails, the system will not halt
large main memory required
more economic system",3
2,"even if one processor fails, the system will not stop. 
Increased expense. ",1
2,The main advantage of multiprocessor system is even one processor fails the system will not halt,1
2,"1.more reliable,2.enhanced throughput,3.increased expense,4.more computing",2
2,"High reliability
Less electric city usage
Type of parallel processing",1
2," Enhanced Throughput. 
More Economic Systems. 
Increased Expense. 
Complicated Operating System Required. 
Large Main Memory Required.",2
2,"1.High Throughput
2.Parallel processing 
3.Less electricity usage
4.Higj reliability",3
2,"1).More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
2).Enhanced Throughput. ... 
3).More Economic Systems. ... 
4).Increased Expense. ... 
5).Complicated Operating System Required. ... 
6).Large Main Memory Required.",5
2,"High speed,compact size, it is portable ,low power consumption",1
2,"Enhanced Throughput. 
More Economic Systems. 
Increased Expense.",2
2,"More reliable systems 
Enchanced through output
More economical systems
Increased expense
Compilcated operating system required
Large main memory required",4
2,"Advantages of Multiprocessor Systems
More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required.
",5
2,"There are multiple advantages to multiprocessor systems. Some of these are âˆ’
1.More reliable Systems
In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation. For example: If there are 5 processors in a multiprocessor system and one of them fails, then also 4 processors are still working. So the system only becomes slower and does not ground to a halt.
2.Enhanced Throughput
If multiple processors are working in tandem, then the throughput of the system increases i.e. number of processes getting executed per unit of time increase. If there are N processors then the throughput increases by an amount just under N.
3.More Economic Systems
Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc. If there are multiple processes that share data, it is better to schedule them on multiprocessor systems with shared data than have different computer systems with multiple copies of the data.",4
2,"Multiprocessor system have the advantages like:
High throughput, reduced cost, increased reliability, economic and less electricity usage. ",2
2,"Increases throughput, Reduces the time mechanism, Maximum CPU utilization. ",2
2,"Advantages of multiprocessor systems:-
1. High Throughput
2. Type of parallel processing
3. Less electricity usage
4. High Reliability
5. Economic",3
2,"Many works can be done simultaneously by system without wastage of time.
->in this even if one processor doesn't work the other will not stop.
->Economic friendly 

",3
2,"Multiprocessor system supports more than one processor.
1.Throughput 2.Cost Saving 3.Increased Reliability ",3
2,"In a multiprocessor system, even if one processor fails, the system will not halt.
These are cheaper than single processor systems in the long run because they share data storage,peripheral devices, power supplies etc.",2
2,"compact size ,High speed , Low power consumption , portable, very reliable, Less heat generation .",1
2,"Increased throughout-- by increasing the number of processes more work can be completed in a unit time.
 cost saving--parallel system shares the memory buses peripherals.
Thus saves money as compared to multiple single system",2
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt,Enhanced Throughput,More Economic Systems,Increased Expense,Complicated Operating System Required,Large Main Memory Required.",5
2,1.More Economic Systems 2.Less electricity usage 3.High Reliability  4.High Throughput,2
2,"Executes multiple instructions at the same time. 
If one processor fails it doesn't affect the functioning of other processors.
An additional processor can be added to increase the performance.",3
2,"High throughput, high reliability, less electricity usage, cost saving",2
2,"Increased Throughput-By increasing the number of processors
Cost Saving-Parralell system shares the memory,buses.",2
2,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic: As more work is completed by the CPUâ€™s so these systems are economically good as well.

",5
2,"1.More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
2.Enhanced Throughput. 
3.More Economic Systems. 
4.Increased Expense. 
5.Complicated Operating System Required. ...
6.Large Main Memory Required.",5
2,"By increasing the number of processors  work can be done in unit time.parallel system shares the memory,buses etc.multiprocessor saves memory ",1
2,The work complete sooner,1
2,"In a multiprocessor system, even if one processor fails, the system will not halt",1
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required.",5
2,"High throughput
High reliability
Less electricity usage 
Cost saving ",3
2,"1.We can perform multiple tasks at a time on a single CPU.
2. We can execute multiple programs parallel.
3. High throughput
",2
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput. 
More Economic Systems
Increased Expense.
Complicated Operating System Required. 
Large Main Memory Required.",4
2,"In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput.
More Economic Systems.
Increased Expense.
Complicated Operating System Required.
Large Main Memory Required.",4
2,"More reliable systems. In a multiprocessor system, even if one processor fails the system will not halt.
Enhanced throughput
More economic system",2
2,"1.High Throughput
2.less electricity usage
3.High Reliability
4.it is economic",3
2,"Advantages of a microprocessor system :
1. Microprocessor functions with high speed.
2. It generates less heat.
3. It consumes less power.
4. It is portable and reliable.",0
2,"Following are some of important advantages of an operating System.

Memory Management
Processor Management
Device Management
File Management
Security
Control over system performance
Job accounting
Error detecting aids
Coordination between other software and users",0
2,Multiprocessor systems have better performance than single processor systems. It has shorter response time and higher throughput. User gets more work in less time.  Multiprocessor systems can cost less than equivalent multiple single processor system,4
2,Multiprocessor systems have better performance than single processor systems. It has shorter response time and higher throughput. User gets more work in less time. - Reduced Cost: Multiprocessor systems can cost less than equivalent multiple single processor system,4
2,"High Reliability
Less electricity usage:
High Throughput",2
2,"If one process fails, it doesn't effect the remaining processes, enhanced throughput, more economic system ",2
2,"High Reliability
Less electricity usage:
High Throughput",2
2,"1.High throughput
2.High reliability
3.Less electricity usage.",2
2,"Microprocessor is its speed ,which is measured in hertz.microproccesor is that it can quickly move data between the various memory locations.",0
2,"In a multiprocessor system, even if one processor fails, the system will not halt. ",1
2,"Better performance
More work less time
Reduced cost",2
2,"Better performance
More work less time
Reduced cost",2
2,"High Reliability
Less electricity usage:
High Throughput",2
2,"Increased Troughput-by increasing the number of processor,more work can be completed in a unit time.cost saving- parallel system shares the memory,buses, peripherals etc.multiprocessor system thus saves money as compared to multiple singles systems.",3
2,CPU is used most of time and mostly never become idle.the system apper to be faster as the tasks will run in parallel.even if one processer system will not halt.,2
2,"High Reliability
Less electricity usage
High Throughput",2
2,In Multiprocessor system if one processor fails the system will not halt. The throughput of system increases. ,2
2,"High Reliability
Less electricity usage:
High Throughput",2
2,"More reliable system in multiprocessor system even if one processor fails the system will not halt
Enhanced  throughput
More economic system
Increased expenses
Complicated operating system required",3
2,"High reliability
High ThroughPut",2
2,"1.Enhanced throughput
2.increased expense
3.Lorge main memory required",2
2,"Enhanced Throughput, More reliable Systems, More Economic Systems. ",2
2,"1.As multiple processes execute at the same time ,so throughput will be increased. 2.if any of the processor fail it does affect the whole process.3.increase the reliability.",2
2,"The advantages of the multiprocessing system are: Increased Throughput âˆ’ By increasing the number of processors, more work can be completed in a unit time. Cost Saving âˆ’ Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems.",3
2,"Advantages of multiprocessor system 
More reliable system in a multiprocessor system even if one processor fails the system will not halt
Enhanced throughput
More economic system
Increased expense
Complicated operating system required
Large  main memory required",5
2,"More reliable system's,more economic system's",2
2,"Doing a single process at a time can take much time. To reduce it we can use multiprocessor.
By multiprocessor  system we can reduce the workload on on the processor(in case single).
The multiprocessor works great for the heavy workloads coz it divides(shares) the workload and makes the process happen.
",3
2," By increasing the number of processors, more work can be completed in a unit time.
Cost Saving  Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems. Also, if a number of programs are to operate on the same data, it is cheaper to store that data on one single disk and shared by all processors instead of using many copies of the same data.",4
2,"1) More reliable systems. In a multiprocessor system even if one processor fails,the system will not halt.
2) Enhanced throughput. 
3)More economic systems. 
4) Increased expense.",4
2,"High Reliability
Less electricity usage:
High Throughput",2
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput
More Economic Systems. 
Increased Expense. 
Complicated Operating System Required.
Large Main Memory Required.",4
2,"Multiprocessor system have more than one processor in close communication, sharing the computer bus the clock and sometimes memory and peripheral devices. This system are referred to as tightly coupled system. One main advantage in such system is increased throughput.",3
2,"High Reliability
Less electricity usage:
High Throughput",2
2,"Enhanced Throughput,
More Economic Systems,
Increased Expense,
Complicated Operating System,
Large Main Memory Required.",3
2,"High Reliability
Less electricity usage:
High Throughput",2
2,"There are multiple advantages to multiprocessor systems. Some of these are âˆ’
1.More reliable Systems
In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation. For example: If there are 5 processors in a multiprocessor system and one of them fails, then also 4 processors are still working. So the system only becomes slower and does not ground to a halt.
2.Enhanced Throughput
If multiple processors are working in tandem, then the throughput of the system increases i.e. number of processes getting executed per unit of time increase. If there are N processors then the throughput increases by an amount just under N.
3.More Economic Systems
Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc. If there are multiple processes that share data, it is better to schedule them on multiprocessor systems with shared data than have different computer systems with multiple copies of the data.",4
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required.",4
2,"High Reliability
Less electricity usage
High Throughput",2
2,"More economic systems, more reliable systems, enhanced throughput.",2
2,"1.More reliable systems.
2 Enhanced throughput.
3.More economic systems.
4.Increased expense.
5.Complicated operating system required.
6.Large main memory required.
",5
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.

Enhanced Throughput. 
More Economic Systems. 
Increased Expense.
Complicated Operating System Required. 
Large Main Memory Required.
",5
2,"More no of processes can be executed.
Starvation is significantly reduced.",2
2,Deadlock,0
2,"More reliable Systems, increased throughput, has shorter response time",3
2,"Advantages of Multiprocessor Systems
1. More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
2. Enhanced Throughput. ...
3. More Economic Systems. ...
4. Increased Expense. ...
5. Complicated Operating System Required. ...
6. Large Main Memory Required.",5
2,"High Throughput:-Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing:- Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage:- In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability:-As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic:- As more work is completed by the CPUâ€™s so these systems are economically good as well.",5
2,"Advantages of multiprocessor system are:
-High Throughput, 
-parallel processing, 
-Less electricity usage,
-High Reliability, 
-Economic
",4
2,"Multiprocessing operating system or the parallel system support the use of more than one processor in close communication.
The advantages of the multiprocessing system are:
1. Increased throughout
2. Cost saving
3. Increased Reliability",2
2,"High Throughput, parallel processing, Less electricity usage, High Reliability, Economic. High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.",4
2,"Jobs are performed much faster  compared with single processor systems.
system will be running smoothly , Multiprocessor systems are able to handle complex computations. ",2
2,"1.More reliable Systems
2.Enhanced Throughput
3.More Economic Systems",2
2,"There are multiple advantages to multiprocessor systems. Some of these are âˆ’
More reliable Systems
Enhanced Throughput
More Economic Systems",2
2,"Even if one processor fails others will look after the work,it is highly reliable, it has high throughput.",3
2,"There are multiple advantages to multiprocessor systems. Some of these are âˆ’

More reliable Systems:

In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation. For example: If there are 5 processors in a multiprocessor system and one of them fails, then also 4 processors are still working. So the system only becomes slower and does not ground to a halt.

Enhanced Throughput:

If multiple processors are working in tandem, then the throughput of the system increases i.e. number of processes getting executed per unit of time increase. If there are N processors then the throughput increases by an amount just under N.

More Economic Systems:

Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc. If there are multiple processes that share data, it is better to schedule them on multiprocessor systems with shared data than have different computer systems with multiple copies of the data.",3
2,"Multiprocessing operating system or the parallel system support the use of more than one processor in close communication.

The advantages of the multiprocessing system are:

Increased Throughput âˆ’ By increasing the number of processors, more work can be completed in a unit time.

Cost Saving âˆ’ Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems. Also, if a number of programs are to operate on the same data, it is cheaper to store that data on one single disk and shared by all processors instead of using many copies of the same data.

Increased Reliability âˆ’ In this system, as the workload is distributed among several processors which results in increased reliability. If one processor fails then its failure may slightly slow down the speed of the system but system will work smoothly.",5
2,"    More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt
    Enhanced Throughput
    More Economic Systems
    Increased Expense
    Complicated Operating System Required 
    Large Main Memory Required.",4
2,"Multiprocessor is economic as more work is completed by the cpu
Parallel processing is a advantage as execution of multiple threads takes place at same time
Less electricity usage : as multiprocessor execution of multiple process is done in a few times. So less electricity usage",3
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput.
",2
2,"Multiprocessor is more economic it is cheaper than singleprocessor systems also most work is completed by the cpu
Less electricity usage: multiprocessor cpu consume low electricity than single processor 
Parallel processing:parallel processing takes place in which multiple threads are executed at same time",3
2,"The advantages of multiprocessor system are
1)More reliable Systems.In a multiprocessor system, even if one processor fails, the system will not halt. ...
2)Enhanced Throughput. ...
3)More Economic Systems. ...
4)Increased Expense. ...
5)Complicated Operating System Required. ...
Large Main Memory Required.",5
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. 
Enhanced Throughput. 
More Economic Systems. 
Increased Expense. 
Complicated Operating System Required. 
Large Main Memory Required.",5
2,"Multiprocessor have multiple processors and different tasks can be performed simultaneously in a multiprocessor.parallel processing ,high throughput,high reliability can be achieved through this",4
2,"High Throughput, parallel processing, Less electricity usage, High Reliability, Economic",4
2,"More reliable system, enhanced throughput, more economic systems",2
2,"More reliable systems , 
Increased throughput,
More economic systems",2
2,"There are multiple advantages to multiprocessor systems. Some of these are âˆ’

More reliable Systems

In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation. For example: If there are 5 processors in a multiprocessor system and one of them fails, then also 4 processors are still working. So the system only becomes slower and does not ground to a halt.

Enhanced Throughput

If multiple processors are working in tandem, then the throughput of the system increases i.e. number of processes getting executed per unit of time increase. If there are N processors then the throughput increases by an amount just under N.

More Economic Systems

Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc. If there are multiple processes that share data, it is better to schedule them on multiprocessor systems with shared data than have different computer systems with multiple copies of the data.

",4
2,"More reliable systems.
Enhanced throughput.
More Economic systems.",2
2,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic: As more work is completed by the CPUâ€™s so these systems are economically good as well.",5
2,"Advantages of Multiprocessor Systems :
- There are multiple advantages to multiprocessor systems. Some of these are âˆ’

1. More reliable Systems :

- In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation.

2. Enhanced Throughput :

- If multiple processors are working in tandem, then the throughput of the system increases.

3.More Economic Systems :

- Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc",3
